编号,类型,备注,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10
20017,,,横扫千军|后发制人|破釜沉舟|后发制人,,,,,,,,,
20018,,,鹰击|狮搏|象形|定心术|连环击,,,,,,,,,
20019,,,浪涌|裂石|断岳势|天崩地裂|惊涛怒|翻江搅海,,,,,,,,,
20020,,,落叶萧萧|荆棘舞|尘土刃|冰川怒,,,,,,,,,
20021,,,飞砂走石|三昧真火|牛劲|摇头摆尾,,,,,,,,,
20022,,,天雷斩|天神护体|天神护法,,,,,,,,,
20023,,,,,,,,,,,,
20024,,,,,,,,,,,,
20025,,,,,,,,,,,,
20026,,,,,,,,,,,,
20027,,,,,,,,,,,,
20028,,,,,,,,,,,,
20029,,,,,,,,,,,,
20030,,,,,,,,,,,,
20031,,,,,,,,,,,,
20017,,,横扫千军|破血狂攻,,,,,,,,,
20018,,,推气过宫|金刚护体|金刚护法|唧唧歪歪|玉清诀,,,,,,,,,
20019,,,失心符|失魂符|笑里藏刀,,,,,,,,,
20020,,,似玉生香|笑里藏刀,,,,,,,,,
20021,,,落叶萧萧|四海升平|圣灵之甲|,,,,,,,,,
20022,,,含情脉脉|笑里藏刀,,,,,,,,,
20023,,,飞砂走石|牛劲|四海升平|圣灵之甲|罗汉金钟,,,,,,,,,
20024,,,狮搏|鹰击|连环击|破血狂攻|破碎无双,,,,,,,,,
20025,,,阎罗令|判官令|尸腐毒|破血狂攻,,,,,,,,,
20026,,,夺魄令|煞气诀|夺命咒|明光宝烛|地涌金莲,,,,,,,,,
20027,,,天雷斩|五雷轰顶|错乱|百万神兵,,,,,,,,,
20028,,,靛沧海|日光华|地裂火|苍茫树|紧箍咒|普渡众生,,,,,,,,,
20029,,,断岳势|天崩地裂|翻江搅海|破血狂攻|破碎无双,,,,,,,,,
20030,,,日月乾坤|烟雨剑法|生命之泉|,,,,,,,,,
20031,,,龙卷雨击|四海升平|圣灵之甲|罗汉金钟,,,,,,,,,
,物理特技,,破碎无双|破血狂攻,破血狂攻,,,,,,,,
,法系特技,,罗汉金钟,,,,,,,,,
,辅助特技,,笑里藏刀|流云诀,流云诀,,,,,,,,
,封系特技,,玉清诀,,,,,,,,,
10001,,,高级反击|反击|高级夜战,,,,,,,,,
10002,,,高级水属性吸收|水属性吸收|高级反击|反击|高级夜战,,,,,,,,,
10003,,,高级水属性吸收|水属性吸收|高级夜战,,,,,,,,,
10004,,,奔雷咒|地狱烈火|水漫金山|高级水属性吸收|水属性吸收|高级夜战,,,,,,,,,
10005,,,雷击|水攻|高级水属性吸收|水属性吸收|高级夜战,,,,,,,,,
10006,,,高级鬼魂术|高级夜战,,,,,,,,,
10007,,,烈火|反击|高级夜战,,,,,,,,,
10008,,,雷击|反击|高级夜战,,,,,,,,,
10009,,,水攻|反击|高级夜战,,,,,,,,,
10010,,,落岩|反击|高级夜战,,,,,,,,,
10011,,,高级反击|水漫金山|高级夜战,,,,,,,,,
10012,,,高级反击|地狱烈火|高级夜战,,,,,,,,,
10013,,,高级反击|奔雷咒|高级夜战,,,,,,,,,
10014,,,高级反击|高级感知|高级夜战,,,,,,,,,
10015,,,上古灵符|高级反击|高级感知|高级夜战,,,,,,,,,
10016,,,善恶有报|高级反击|高级感知|高级夜战,,,,,,,,,
10017,,,力劈华山|高级反击|高级感知|高级夜战,,,,,,,,,
10018,,,高级夜战|,,,,,,,,,
10019,,,高级夜战|高级隐身,,,,,,,,,
20001,,,横扫千军|后发制人,,,,,,,,,
20002,,,推气过宫|唧唧歪歪|金刚护体|金刚护法,,,,,,,,,
20003,,,落雷符|五雷咒|催眠符|失心符|失魂符|定身符,,,,,,,,,
20004,,,雨落寒沙|似玉生香,,,,,,,,,
20005,,,落叶萧萧|荆棘舞,,,,,,,,,
20006,,,盘丝阵|含情脉脉,,,,,,,,,
20007,,,飞砂走石|三昧真火,,,,,,,,,
20008,,,狮搏|鹰击|连环击,,,,,,,,,
20009,,,阎罗令|判官令|尸腐毒,,,,,,,,,
20010,,,夺魄令||地涌金莲,,,,,,,,,
20011,,,天雷斩|错乱|百万神兵,,,,,,,,,
20012,,,靛沧海|日光华|地裂火|苍茫树|紧箍咒,,,,,,,,,
20013,,,裂石|断岳势,,,,,,,,,
20014,,,日月乾坤|烟雨剑法,,,,,,,,,
20015,,,龙卷雨击|龙腾,,,,,,,,,
20016,,,失心符|失魂符,,,,,,,,,
20032,,蚩尤专用,猛击|,,,,,,,,,
20033,,蚩尤专用,电芒|,,,,,,,,,
20034,,蚩尤专用,武神之怒|刀光剑影|毁灭之光,,,,,,,,,
20035,,蚩尤专用,血沸|,,,,,,,,,
20036,,蚩尤专用,秘传封印|,,,,,,,,,
20037,,蚩尤专用,寒冰监牢|,,,,,,,,,
20038,,蚩尤专用,怒火|,,,,,,,,,
20039,,蚩尤专用,归墟|,,,,,,,,,
20040,,蚩尤专用,怒击|,,,,,,,,,
20041,,蚩尤专用,六道无情|,,,,,,,,,
20042,,,日月乾坤|,,,,,,,,,
20043,,,阎罗拘魂|,,,,,,,,,
20044,,,尸腐无常|,,,,,,,,,
20045,,,鹰击|,,,,,,,,,
20046,,,摄魄|破碎无双,,,,,,,,,
20047,,,摄魄|笑里藏刀|破碎无双,,,,,,,,,
20048,,,烈火焚原|,,,,,,,,,
20049,,,冰封千里|,,,,,,,,,
20050,,,三味真火|断岳势|落叶萧萧|地狱烈火|泰山压顶|雷霆万钧|龙卷雨击,,,,,,,,,
20051,,,横扫千军|,,,,,,,,,
20052,,,推气过宫|金刚护体|金刚护法,,,,,,,,,
20053,,,落雷符|五雷咒|催眠符|失心符|失魂符|定身符,,,,,,,,,
20054,,,似玉生香|,,,,,,,,,
20055,,,落叶萧萧|,,,,,,,,,
20056,,,盘丝阵|,,,,,,,,,
20057,,,飞砂走石|,,,,,,,,,
20058,,,鹰击|,,,,,,,,,
20059,,,阎罗令|判官令|尸腐毒,,,,,,,,,
20060,,,夺魄令||地涌金莲,,,,,,,,,
20061,,,天雷斩|,,,,,,,,,
20062,,,靛沧海|日光华|地裂火|苍茫树|紧箍咒,,,,,,,,,
20063,,,裂石|断岳势,,,,,,,,,
20064,,,烟雨剑法|,,,,,,,,,
20065,,,龙卷雨击|,,,,,,,,,
