编号,名称,星期,类型,星级,活跃,最大次数,资源,地址
1,师门任务,全天,日常任务,1,20,20,item.wdf,0x88523cab
2,江湖任务,全天,日常任务,1,5,10,item.wdf,0xa2fe6f68
3,钟馗捉鬼,全天,日常任务,1,10,10,item.wdf,0xdf37c485
4,黑无常抓鬼,全天,日常任务,1,10,30,item.wdf,0x4f8a961f
5,封妖任务,全天,日常任务,2,5,10,item.wdf,0x63e46e78
6,胡姬琵琶行,全天,副本任务,1,0,1,item.wdf,0x1d10c8f6
7,泾河龙王2,全天,副本任务,1,0,1,item.wdf,0x249d07a5
8,初出茅庐,全天,副本任务,1,0,1,item.wdf,0x41b255e1
9,车迟斗法,全天,副本任务,1,5,1,item.wdf,0x4714f3c1
10,四季,全天,副本任务,1,0,1,item.wdf,0x472b127e
11,五庄观,全天,副本任务,1,0,1,item.wdf,0xfdf06f1f
12,水陆大会,全天,副本任务,1,5,1,item.wdf,0x4a068542
13,乌鸡国,全天,副本任务,1,5,1,item.wdf,0x8c3fa3a7
14,石猴授徒,全天,副本任务,2,0,1,item.wdf,0x8119e63
15,猴王出世,全天,副本任务,2,0,1,item.wdf,0xf3bd3928
16,平顶山,全天,副本任务,2,0,1,item.wdf,0x399b3f51
17,前世今生2,全天,副本任务,2,0,1,item.wdf,0xf6b36e9a
18,齐天大圣,全天,副本任务,2,0,1,item.wdf,0x8513c977
19,金兜洞兕大王,全天,副本任务,3,0,1,item.wdf,0x40b6bd27
20,七绝山,全天,副本任务,3,5,1,item.wdf,0xecb79ef2
21,天火之殇上部,全天,副本任务,3,0,1,item.wdf,0x50c7cb87
22,黑风山,全天,副本任务,3,0,1,item.wdf,0x7e1991cb
23,无底洞,全天,副本任务,3,0,1,item.wdf,0x5bd31714
24,通天河,全天,副本任务,3,0,1,item.wdf,0x9acaccad
25,敦煌夜谭上部,全天,副本任务,3,0,1,item.wdf,0x453f4c33
26,西域宝藏,全天,副本任务,3,0,1,item.wdf,0x4bc6eac
27,（侠）水陆大会,全天,副本任务,3,0,1,item.wdf,0x4a068542
28,红孩儿,全天,副本任务,3,0,1,item.wdf,0xf46818b1
29,大闹天宫,全天,副本任务,3,0,1,item.wdf,0x8513c977
30,后裔陵墓上部,全天,副本任务,4,0,1,common/item.wdf,0xd61ac318
31,秘境降妖,全天,副本任务,4,0,1,item.wdf,0x7e9a874a
32,天火之殇下部,全天,副本任务,4,0,1,item.wdf,0x50c7cb87
33,敦煌夜谭下部,全天,副本任务,4,0,1,item.wdf,0x453f4c33
34,后羿陵墓下部,全天,副本任务,4,0,1,common/item.wdf,0xd61ac318
35,轮回镜,全天,副本任务,4,0,1,common/item.wdf,0x6215bd66
36,天火之殇上部,副本任务,全天,3,0,1,item.wdf,0x50c7cb87
37,黑风山,副本任务,全天,3,0,1,item.wdf,0x7e1991cb
38,无底洞,副本任务,全天,3,0,1,item.wdf,0x5bd31714
39,通天河,副本任务,全天,3,0,1,item.wdf,0x9acaccad
40,敦煌夜谭上部,副本任务,全天,3,0,1,item.wdf,0x453f4c33
41,西域宝藏,副本任务,全天,3,0,1,item.wdf,0x4bc6eac
42,（侠）水陆大会,副本任务,全天,3,0,1,item.wdf,0x4a068542
43,红孩儿,副本任务,全天,3,0,1,item.wdf,0xf46818b1
44,大闹天宫,副本任务,全天,3,0,1,item.wdf,0x8513c977
45,后裔陵墓上部,副本任务,全天,4,0,1,common/item.wdf,0xd61ac318
46,秘境降妖,副本任务,全天,4,0,1,item.wdf,0x7e9a874a
47,天火之殇下部,副本任务,全天,4,0,1,item.wdf,0x50c7cb87
48,敦煌夜谭下部,副本任务,全天,4,0,1,item.wdf,0x453f4c33
49,后羿陵墓下部,副本任务,全天,4,0,1,common/item.wdf,0xd61ac318
50,轮回镜,副本任务,全天,4,0,1,common/item.wdf,0x6215bd66
51,门派闯关,节日活动,Mon,2,0,0,item.wdf,0x8e5937af
52,皇宫飞贼,节日活动,Tue,2,0,1,item.wdf,0x448a26a9
53,游泳比赛,节日活动,Wed,2,0,1,item.wdf,0xa6bc12c
54,宝藏山,节日活动,Thu,2,0,1,item.wdf,0xcc192207
55,长风镖王,节日活动,Fri,2,0,1,item.wdf,0x4bc6eac
56,比武大会,节日活动,Sat,2,0,1,item.wdf,0xbc29f929
57,科举,节日活动,Sun,2,0,1,item.wdf,0x406ea1ea
58,军阵威仪,节日活动,Sat,2,0,1,item.wdf,0x68401093
59,月影觅仙踪（奔月）,节日活动,Sun,2,0,1,item.wdf,0x18450cd6
60,幻域迷宫,节日活动,Fri,2,0,1,item.wdf,0xc6097f37
61,皇宫飞贼,节日活动,Mon,2,0,1,item.wdf,0x448a26a9
62,皇宫飞贼,节日活动,Wed,2,0,1,item.wdf,0x448a26a9
63,皇宫飞贼,节日活动,Thu,2,0,1,item.wdf,0x448a26a9
64,皇宫飞贼,节日活动,Fri,2,0,1,item.wdf,0x448a26a9
