排名,经验,银子,物品1,物品2,物品3,物品4,物品5
1,1000000,10000000,制造指南书|150,百炼精铁|150,仙玉|300,元灵晶石|140,灵饰指南书|140
2,1000000,10000000,制造指南书|150,百炼精铁|150,仙玉|300,元灵晶石|140,灵饰指南书|140
3,1000000,10000000,制造指南书|150,百炼精铁|150,仙玉|300,元灵晶石|140,灵饰指南书|140
4,1000000,10000000,制造指南书|150,百炼精铁|150,仙玉|300,元灵晶石|140,灵饰指南书|140
5,1000000,10000000,制造指南书|150,百炼精铁|150,仙玉|300,元灵晶石|140,灵饰指南书|140
6,1000000,8000000,制造指南书|140,百炼精铁|140,仙玉|200,元灵晶石|120,灵饰指南书|120
7,1000000,8000000,制造指南书|140,百炼精铁|140,仙玉|200,元灵晶石|120,灵饰指南书|120
8,1000000,8000000,制造指南书|140,百炼精铁|140,仙玉|200,元灵晶石|120,灵饰指南书|120
9,1000000,8000000,制造指南书|140,百炼精铁|140,仙玉|200,元灵晶石|120,灵饰指南书|120
10,1000000,8000000,制造指南书|140,百炼精铁|140,仙玉|200,元灵晶石|120,灵饰指南书|120
11,1000000,5000000,制造指南书|130,百炼精铁|130,仙玉|100,元灵晶石|100,灵饰指南书|100
12,1000000,5000000,制造指南书|130,百炼精铁|130,仙玉|100,元灵晶石|100,灵饰指南书|100
13,1000000,5000000,制造指南书|130,百炼精铁|130,仙玉|100,元灵晶石|100,灵饰指南书|100
14,1000000,5000000,制造指南书|130,百炼精铁|130,仙玉|100,元灵晶石|100,灵饰指南书|100
15,1000000,5000000,制造指南书|130,百炼精铁|130,仙玉|100,元灵晶石|100,灵饰指南书|100
16,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
17,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
18,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
19,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
20,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
21,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
22,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
23,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
24,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
25,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
26,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
27,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
28,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
29,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
30,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
31,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
32,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
33,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
34,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
35,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
36,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
37,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
38,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
39,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
40,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
41,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
42,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
43,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
44,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
45,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
46,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
47,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
48,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
49,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
50,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
51,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
52,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
53,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
54,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
55,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
56,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
57,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
58,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
59,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
60,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
61,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
62,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
63,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
64,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
65,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
66,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
67,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
68,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
69,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
70,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
71,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
