≈≈√˚,æ≠—È,“¯◊”,ŒÔ∆∑1,ŒÔ∆∑2,ŒÔ∆∑3,ŒÔ∆∑4,ŒÔ∆∑5
1,1000000,10000000,,,œ…”Ò|300,,
2,1000000,10000000,,,œ…”Ò|300,,
3,1000000,10000000,,,œ…”Ò|300,,
4,1000000,10000000,,,œ…”Ò|300,,
5,1000000,8000000,,,œ…”Ò|300,,
6,1000000,8000000,,,œ…”Ò|200,,
7,1000000,8000000,,,œ…”Ò|200,,
8,1000000,8000000,,,œ…”Ò|200,,
9,1000000,8000000,,,œ…”Ò|200,,
10,1000000,5000000,,,œ…”Ò|200,,
11,1000000,5000000,,,œ…”Ò|100,,
12,1000000,5000000,,,œ…”Ò|100,,
13,1000000,5000000,,,œ…”Ò|100,,
14,1000000,5000000,,,œ…”Ò|100,,
15,1000000,5000000,,,œ…”Ò|100,,
16,1000000,1000000,,,œ…”Ò|10,,
17,1000000,1000000,,,œ…”Ò|10,,
18,1000000,1000000,,,œ…”Ò|10,,
19,1000000,1000000,,,œ…”Ò|10,,
20,1000000,1000000,,,œ…”Ò|10,,
21,1000000,1000000,,,œ…”Ò|10,,
22,1000000,1000000,,,œ…”Ò|10,,
23,1000000,1000000,,,œ…”Ò|10,,
24,1000000,1000000,,,œ…”Ò|10,,
25,1000000,1000000,,,œ…”Ò|10,,
26,1000000,1000000,,,œ…”Ò|10,,
27,1000000,1000000,,,œ…”Ò|10,,
28,1000000,1000000,,,œ…”Ò|10,,
29,1000000,1000000,,,œ…”Ò|10,,
30,1000000,1000000,,,œ…”Ò|10,,
31,1000000,1000000,,,œ…”Ò|10,,
32,1000000,1000000,,,œ…”Ò|10,,
33,1000000,1000000,,,œ…”Ò|10,,
34,1000000,1000000,,,œ…”Ò|10,,
35,1000000,1000000,,,œ…”Ò|10,,
36,1000000,1000000,,,œ…”Ò|10,,
37,1000000,1000000,,,œ…”Ò|10,,
38,1000000,1000000,,,œ…”Ò|10,,
39,1000000,1000000,,,œ…”Ò|10,,
40,1000000,1000000,,,œ…”Ò|10,,
41,1000000,1000000,,,œ…”Ò|10,,
42,1000000,1000000,,,œ…”Ò|10,,
43,1000000,1000000,,,œ…”Ò|10,,
44,1000000,1000000,,,œ…”Ò|10,,
45,1000000,1000000,,,œ…”Ò|10,,
46,1000000,1000000,,,œ…”Ò|10,,
47,1000000,1000000,,,œ…”Ò|10,,
48,1000000,1000000,,,œ…”Ò|10,,
49,1000000,1000000,,,œ…”Ò|10,,
50,1000000,1000000,,,œ…”Ò|10,,
51,1000000,1000000,,,œ…”Ò|10,,
52,1000000,1000000,,,œ…”Ò|10,,
53,1000000,1000000,,,œ…”Ò|10,,
54,1000000,1000000,,,œ…”Ò|10,,
55,1000000,1000000,,,œ…”Ò|10,,
56,1000000,1000000,,,œ…”Ò|10,,
57,1000000,1000000,,,œ…”Ò|10,,
58,1000000,1000000,,,œ…”Ò|10,,
59,1000000,1000000,,,œ…”Ò|10,,
60,1000000,1000000,,,œ…”Ò|10,,
61,1000000,1000000,,,œ…”Ò|10,,
62,1000000,1000000,,,œ…”Ò|10,,
63,1000000,1000000,,,œ…”Ò|10,,
64,1000000,1000000,,,œ…”Ò|10,,
65,1000000,1000000,,,œ…”Ò|10,,
66,1000000,1000000,,,œ…”Ò|10,,
67,1000000,1000000,,,œ…”Ò|10,,
68,1000000,1000000,,,œ…”Ò|10,,
69,1000000,1000000,,,œ…”Ò|10,,
70,1000000,1000000,,,œ…”Ò|10,,
71,1000000,1000000,,,œ…”Ò|10,,
72,1000000,1000000,,,œ…”Ò|10,,
73,1000000,1000000,,,œ…”Ò|10,,
74,1000000,1000000,,,œ…”Ò|10,,
75,1000000,1000000,,,œ…”Ò|10,,
76,1000000,1000000,,,œ…”Ò|10,,
77,1000000,1000000,,,œ…”Ò|10,,
78,1000000,1000000,,,œ…”Ò|10,,
79,1000000,1000000,,,œ…”Ò|10,,
80,1000000,1000000,,,œ…”Ò|10,,
81,1000000,1000000,,,œ…”Ò|10,,
82,1000000,1000000,,,œ…”Ò|10,,
83,1000000,1000000,,,œ…”Ò|10,,
84,1000000,1000000,,,œ…”Ò|10,,
85,1000000,1000000,,,œ…”Ò|10,,
86,1000000,1000000,,,œ…”Ò|10,,
87,1000000,1000000,,,œ…”Ò|10,,
88,1000000,1000000,,,œ…”Ò|10,,
89,1000000,1000000,,,œ…”Ò|10,,
90,1000000,1000000,,,œ…”Ò|10,,
91,1000000,1000000,,,œ…”Ò|10,,
92,1000000,1000000,,,œ…”Ò|10,,
93,1000000,1000000,,,œ…”Ò|10,,
94,1000000,1000000,,,œ…”Ò|10,,
95,1000000,1000000,,,œ…”Ò|10,,
96,1000000,1000000,,,œ…”Ò|10,,
97,1000000,1000000,,,œ…”Ò|10,,
98,1000000,1000000,,,œ…”Ò|10,,
99,1000000,1000000,,,œ…”Ò|10,,
100,1000000,1000000,,,œ…”Ò|10,,
