编号,名称,类型,等级,属性,技能,资质,成长,价格
1,巨蛙,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
2,大海龟,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
3,海星,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
4,章鱼,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
5,狸,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
6,海毛虫,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
7,树怪,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
8,野猪,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
9,赌徒,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
10,强盗,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
11,护卫,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,9999
12,骷髅怪,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,10999
13,羊头怪,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,10999
14,蛤蟆精,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,10999
15,狐狸精,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,10999
16,大蝙蝠,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,10999
17,花妖,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,11999
18,山贼,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,10999
19,老虎,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,10999
20,黑熊,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,10999
21,狼,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,13999
22,牛妖,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,13999
23,野鬼,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,13999
24,虾兵,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,13999
25,蟹将,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,13999
26,小龙女,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,13999
27,牛头,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,15999
28,黑熊精,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,15999
29,蜘蛛精,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,15999
30,马面,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,15999
31,龟丞相,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,15999
32,兔子怪,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,15999
33,僵尸,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,15999
34,雷鸟人,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,19999
35,蝴蝶仙子,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,19999
36,古代瑞兽,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,19999
37,白熊,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,19999
38,黑山老妖,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,19999
39,天将,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,21999
40,地狱战神,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,21999
41,花铃,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,21999
42,天兵,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,21999
43,风伯,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,21999
44,蛟龙,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,27999
45,雨师,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,27999
46,凤凰,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,27999
47,鲛人,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,27999
48,碧水夜叉,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,27999
49,蚌精,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,27999
50,月影仙,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,27999
51,星灵仙子,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,36666
52,芙蓉仙子,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,36666
53,巡游天神,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,36666
54,犀牛将军兽形,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,36666
55,犀牛将军人形,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,36666
56,千年蛇魅,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,36666
57,如意仙子,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,36666
58,锦毛貂精,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,36666
59,野猪精,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,42999
60,泪妖,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,42999
61,镜妖,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,42999
62,鼠先锋,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,42999
63,百足将军,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,42999
