编号,名称,模型,名称方式,备注,抵抗封印等级,封印命中等级,血量加成,伤害加成,法伤加成,速度加成,防御加成,法防加成,治疗能力,固定伤害,AI战斗,门派,主动技能,特技,法宝技能,法宝佩戴,技能,技能目标数,招式特效,武器名称,武器等级,角色,可捕捉,变身数据,变异,特殊变异,饰品显示,饰品颜色,附加阵法,主怪,共生,炫彩,炫彩组
10001,,,2,捣乱的泡泡,0,0,7,1,1,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林|魔王寨|龙宫|,,,,,高级反击|反击|高级夜战,,,,,,,,,,,,,,,,
10002,腐烂的水果|火红的水果|金色的水果|发霉的水果|恶心的水果,泡泡|超级泡泡|进阶超级泡泡,1,捣乱的泡泡,0,0,4,0.9,0.9,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10003,,,2,四圣兽,0,0,7,1,1,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林|魔王寨|龙宫|,,,,,高级反击|反击|高级夜战,,,,,,,,,,,,,,,,
10004,护法,海毛虫|章鱼|小龙女|鲛人|千年蛇魅|巴蛇|黑熊|白熊|古代瑞兽|老虎|踏云兽|大蝙蝠|雷鸟人|灵鹤|机关鸟|龟丞相|蟹将|蚌精|虾兵|大海龟|天兵|天将,3,四圣兽,0,0,5,0.9,0.9,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|,,,,,高级夜战|,,,,,,,,真,,,,,,,,
10005,,,2,知了王,0,0,7,1,1,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林|魔王寨|龙宫|,,,,,高级反击|反击|高级夜战,,,,,,,,,,,,,,,,
10006,诡秘千疑,幽灵,1,知了王,0,0,5,0.9,0.9,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|,,,,,高级夜战|,,,,,,,,真,,,,,,,,
10007,小虫虫,海毛虫,1,知了王,0,0,5,0.9,0.9,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10008,,,2,跨年活动,0,0,5,1,1,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林|魔王寨|龙宫|,,,,,高级反击|反击|高级夜战,,,,,,,,,,,,,,,,
10009,捣蛋的精灵|捣蛋的兄弟,小精灵|小毛头|小丫丫|小魔头|小仙灵|小仙女,1,跨年活动,0,0,7,0.9,0.9,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10010,,,2,宝图强盗,0,0,5,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|烈火|反击,,,,,,,,,,,,,,,,
10011,远古魔王,黑山老妖,1,宝图魔王,0,0,7,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10012,喽啰,取等级怪,3,宝图魔王,1,0,4,0.9,0.9,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10013,,,2,远古妖魔,0,0,5,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|天宫|化生寺|阴曹地府|普陀山|五庄观,,,,,高级夜战|,,,,,,,,,,,,,,,,
10014,喽啰,取随机怪,3,远古妖魔,0,0,4,0.9,0.9,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10015,喽啰,取随机怪,3,远古妖魔,0,100,4,0.9,0.9,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|指令=逃跑|回合=3,方寸山|女儿村|盘丝洞,,,,,高级夜战|,,,,,,,,真,,,,,,,,
10016,,,2,怪物幼儿园,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,取宝宝,,,,,,真,,,,,,,,,,
10017,护卫,护卫,3,科举闯关,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10018,,马面,2,抓鬼,0,0,1,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级反击|水漫金山|高级夜战,,,,,,,,,,,,,,,,
10019,,牛头,2,抓鬼,0,0,1,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级反击|地狱烈火|高级夜战,,,,,,,,,,,,,,,,
10020,,野鬼,2,抓鬼,0,0,1,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级反击|奔雷咒|高级夜战,,,,,,,,,,,,,,,,
10021,,骷髅怪,2,抓鬼,0,0,1,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级反击|水漫金山|高级夜战,,,,,,,,,,,,,,,,
10022,,僵尸,2,抓鬼,0,0,1,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级反击|地狱烈火|高级夜战,,,,,,,,,,,,,,,,
10023,恶鬼,取随机怪,3,抓鬼,0,0,1,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级反击|高级反震|地狱烈火|高级夜战,,,,,,,,,,,,,,,,
10024,善良的,取随机怪,4,抓鬼,0,0,1,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|指令=逃跑|回合=2,,,,,,高级反击|高级反震|地狱烈火|高级夜战,,,,,,,,,真,,,,,,,
10025,,天兵,2,星宿,0,0,13,1.5,2,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,凌波城|龙宫|普陀山|五庄观|天宫,,,,,高级反击|地狱烈火|高级夜战,,,,,,,,,,,,,,,,
10026,,,2,妖魔鬼怪,0,0,7,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,盘丝洞|阴曹地府|狮驼岭|魔王寨|无底洞,,,,,高级反击|奔雷咒|高级夜战,,,,,,,,,,,,,,,,
10027,喽啰,取随机怪,3,妖魔鬼怪,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级反击|水漫金山|高级夜战,,,,,,,,,,,,,,,,
10028,大唐官府护法,剑侠客,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府,,,,,高级夜战|,,,四法青云,120,真,,,,,,,,,,,
